dataset,metric,block_size,max_distance,dpm_file_name,score,execution_time
art,normalized_cross_correlation,3,40,disp_normalized_cross_correlation_art_3_40.png,0.06966708969941952,2.1998
art,normalized_cross_correlation,3,44,disp_normalized_cross_correlation_art_3_44.png,0.05446370184391172,2.2594
art,normalized_cross_correlation,3,48,disp_normalized_cross_correlation_art_3_48.png,0.007455744608079704,2.2998
art,normalized_cross_correlation,3,52,disp_normalized_cross_correlation_art_3_52.png,-0.029180963643321074,2.3177
art,normalized_cross_correlation,3,56,disp_normalized_cross_correlation_art_3_56.png,-0.10326003022234499,2.4092
art,normalized_cross_correlation,3,60,disp_normalized_cross_correlation_art_3_60.png,-0.18441112544292848,2.6281
art,normalized_cross_correlation,3,64,disp_normalized_cross_correlation_art_3_64.png,-0.28986683413069997,2.6602
art,normalized_cross_correlation,3,68,disp_normalized_cross_correlation_art_3_68.png,-0.3206083380078066,2.7407
art,normalized_cross_correlation,3,72,disp_normalized_cross_correlation_art_3_72.png,-0.3452840580812263,3.1585
art,normalized_cross_correlation,3,76,disp_normalized_cross_correlation_art_3_76.png,-0.34503174188141356,3.1692
art,normalized_cross_correlation,5,40,disp_normalized_cross_correlation_art_5_40.png,0.061624311018947296,2.5833
art,normalized_cross_correlation,5,44,disp_normalized_cross_correlation_art_5_44.png,0.05142028887723331,2.8143
art,normalized_cross_correlation,5,48,disp_normalized_cross_correlation_art_5_48.png,-0.0007978468377256364,2.9523
art,normalized_cross_correlation,5,52,disp_normalized_cross_correlation_art_5_52.png,-0.042116861440390306,3.066
art,normalized_cross_correlation,5,56,disp_normalized_cross_correlation_art_5_56.png,-0.12811439531588628,3.1057
art,normalized_cross_correlation,5,60,disp_normalized_cross_correlation_art_5_60.png,-0.21577517579602348,3.3251
art,normalized_cross_correlation,5,64,disp_normalized_cross_correlation_art_5_64.png,-0.32541313859324905,3.4152
art,normalized_cross_correlation,5,68,disp_normalized_cross_correlation_art_5_68.png,-0.3575091990616018,3.7805
art,normalized_cross_correlation,5,72,disp_normalized_cross_correlation_art_5_72.png,-0.387069871162738,3.8832
art,normalized_cross_correlation,5,76,disp_normalized_cross_correlation_art_5_76.png,-0.3843232690747497,4.404
art,normalized_cross_correlation,7,40,disp_normalized_cross_correlation_art_7_40.png,0.04754056336728817,3.2773
art,normalized_cross_correlation,7,44,disp_normalized_cross_correlation_art_7_44.png,0.0420636774443945,3.4568
art,normalized_cross_correlation,7,48,disp_normalized_cross_correlation_art_7_48.png,-0.01275029530751138,3.612
art,normalized_cross_correlation,7,52,disp_normalized_cross_correlation_art_7_52.png,-0.06094199990032315,3.7827
art,normalized_cross_correlation,7,56,disp_normalized_cross_correlation_art_7_56.png,-0.1494690007693946,3.9402
art,normalized_cross_correlation,7,60,disp_normalized_cross_correlation_art_7_60.png,-0.2400756507314234,4.3255
art,normalized_cross_correlation,7,64,disp_normalized_cross_correlation_art_7_64.png,-0.34583372085952446,4.3933
art,normalized_cross_correlation,7,68,disp_normalized_cross_correlation_art_7_68.png,-0.37336269921668064,4.5895
art,normalized_cross_correlation,7,72,disp_normalized_cross_correlation_art_7_72.png,-0.39839780951142734,4.6233
art,normalized_cross_correlation,7,76,disp_normalized_cross_correlation_art_7_76.png,-0.3921253539996709,5.145
art,normalized_cross_correlation,9,40,disp_normalized_cross_correlation_art_9_40.png,0.036127169095086606,3.9818
art,normalized_cross_correlation,9,44,disp_normalized_cross_correlation_art_9_44.png,0.03291733463149424,4.2242
art,normalized_cross_correlation,9,48,disp_normalized_cross_correlation_art_9_48.png,-0.024886483984409426,4.627
art,normalized_cross_correlation,9,52,disp_normalized_cross_correlation_art_9_52.png,-0.07788146742713552,4.9001
art,normalized_cross_correlation,9,56,disp_normalized_cross_correlation_art_9_56.png,-0.16421804547018334,5.2046
art,normalized_cross_correlation,9,60,disp_normalized_cross_correlation_art_9_60.png,-0.25850477825037094,5.1219
art,normalized_cross_correlation,9,64,disp_normalized_cross_correlation_art_9_64.png,-0.36048825319699207,5.4032
art,normalized_cross_correlation,9,68,disp_normalized_cross_correlation_art_9_68.png,-0.38216208816304925,6.2556
art,normalized_cross_correlation,9,72,disp_normalized_cross_correlation_art_9_72.png,-0.39924472183434045,5.9938
art,normalized_cross_correlation,9,76,disp_normalized_cross_correlation_art_9_76.png,-0.39035778773724483,6.4755
art,normalized_cross_correlation,11,40,disp_normalized_cross_correlation_art_11_40.png,0.030404763841533733,4.8404
art,normalized_cross_correlation,11,44,disp_normalized_cross_correlation_art_11_44.png,0.024136923094529732,5.1912
art,normalized_cross_correlation,11,48,disp_normalized_cross_correlation_art_11_48.png,-0.03748147546507769,5.4527
art,normalized_cross_correlation,11,52,disp_normalized_cross_correlation_art_11_52.png,-0.09690918061129335,6.3013
art,normalized_cross_correlation,11,56,disp_normalized_cross_correlation_art_11_56.png,-0.17822701143216008,6.5355
art,normalized_cross_correlation,11,60,disp_normalized_cross_correlation_art_11_60.png,-0.2780727502478474,6.7154
art,normalized_cross_correlation,11,64,disp_normalized_cross_correlation_art_11_64.png,-0.3698833208705202,7.1366
art,normalized_cross_correlation,11,68,disp_normalized_cross_correlation_art_11_68.png,-0.3886843978236898,7.424
art,normalized_cross_correlation,11,72,disp_normalized_cross_correlation_art_11_72.png,-0.3999341934956943,8.1498
art,normalized_cross_correlation,11,76,disp_normalized_cross_correlation_art_11_76.png,-0.3885101663956206,8.0439
art,normalized_cross_correlation,13,40,disp_normalized_cross_correlation_art_13_40.png,0.023438606112983235,5.9914
art,normalized_cross_correlation,13,44,disp_normalized_cross_correlation_art_13_44.png,0.009038259012553052,6.4247
art,normalized_cross_correlation,13,48,disp_normalized_cross_correlation_art_13_48.png,-0.057108619997014054,7.0227
art,normalized_cross_correlation,13,52,disp_normalized_cross_correlation_art_13_52.png,-0.12076835648819152,7.7247
art,normalized_cross_correlation,13,56,disp_normalized_cross_correlation_art_13_56.png,-0.2025903598430096,7.8657
art,normalized_cross_correlation,13,60,disp_normalized_cross_correlation_art_13_60.png,-0.3012710843048375,8.4118
art,normalized_cross_correlation,13,64,disp_normalized_cross_correlation_art_13_64.png,-0.3815408556666938,8.6282
art,normalized_cross_correlation,13,68,disp_normalized_cross_correlation_art_13_68.png,-0.3994274803526245,8.7841
art,normalized_cross_correlation,13,72,disp_normalized_cross_correlation_art_13_72.png,-0.40399514033715167,9.7385
art,normalized_cross_correlation,13,76,disp_normalized_cross_correlation_art_13_76.png,-0.3911721882220975,10.2089
art,sum_of_squared_differences,3,40,disp_sum_of_squared_differences_art_3_40.png,2402478379.0,1.303
art,sum_of_squared_differences,3,44,disp_sum_of_squared_differences_art_3_44.png,2291054588.0,1.2689
art,sum_of_squared_differences,3,48,disp_sum_of_squared_differences_art_3_48.png,2152388198.0,1.256
art,sum_of_squared_differences,3,52,disp_sum_of_squared_differences_art_3_52.png,2044611748.0,1.2702
art,sum_of_squared_differences,3,56,disp_sum_of_squared_differences_art_3_56.png,1956681534.0,1.2591
art,sum_of_squared_differences,3,60,disp_sum_of_squared_differences_art_3_60.png,1874640052.0,1.3017
art,sum_of_squared_differences,3,64,disp_sum_of_squared_differences_art_3_64.png,1790717443.0,1.3211
art,sum_of_squared_differences,3,68,disp_sum_of_squared_differences_art_3_68.png,1765388597.0,1.3502
art,sum_of_squared_differences,3,72,disp_sum_of_squared_differences_art_3_72.png,1739526927.0,1.375
art,sum_of_squared_differences,3,76,disp_sum_of_squared_differences_art_3_76.png,1729058168.0,1.3999
