dataset,metric,block_size,occluson_cost,dpm_file_name,score,execution_time
reindeer,normalized_cross_correlation,3,0.1,dp_disp_normalized_cross_correlation_reindeer_3_0.1.png,-0.2070284563427521,8.9404
reindeer,normalized_cross_correlation,3,0.2,dp_disp_normalized_cross_correlation_reindeer_3_0.2.png,-0.16711177998062565,9.2327
reindeer,normalized_cross_correlation,3,0.3,dp_disp_normalized_cross_correlation_reindeer_3_0.3.png,-0.1441049861905103,9.1422
reindeer,normalized_cross_correlation,3,0.4,dp_disp_normalized_cross_correlation_reindeer_3_0.4.png,-0.13820198354087707,8.9968
reindeer,normalized_cross_correlation,3,0.5,dp_disp_normalized_cross_correlation_reindeer_3_0.5.png,-0.13396421476076364,8.908
reindeer,normalized_cross_correlation,3,0.6,dp_disp_normalized_cross_correlation_reindeer_3_0.6.png,-0.1351541501664724,9.0612
reindeer,normalized_cross_correlation,3,0.7,dp_disp_normalized_cross_correlation_reindeer_3_0.7.png,-0.1362308515645987,8.9695
reindeer,normalized_cross_correlation,3,0.8,dp_disp_normalized_cross_correlation_reindeer_3_0.8.png,-0.13716059615797432,8.846
reindeer,normalized_cross_correlation,3,0.9,dp_disp_normalized_cross_correlation_reindeer_3_0.9.png,-0.1355578753049662,9.0928
reindeer,normalized_cross_correlation,3,1.0,dp_disp_normalized_cross_correlation_reindeer_3_1.0.png,-0.13581162254965537,8.9827
reindeer,normalized_cross_correlation,5,0.1,dp_disp_normalized_cross_correlation_reindeer_5_0.1.png,-0.504746214675951,10.5875
reindeer,normalized_cross_correlation,5,0.2,dp_disp_normalized_cross_correlation_reindeer_5_0.2.png,-0.2564504933976455,10.3441
reindeer,normalized_cross_correlation,5,0.3,dp_disp_normalized_cross_correlation_reindeer_5_0.3.png,-0.18527065738580029,10.0771
reindeer,normalized_cross_correlation,5,0.4,dp_disp_normalized_cross_correlation_reindeer_5_0.4.png,-0.14664846821278904,10.7206
reindeer,normalized_cross_correlation,5,0.5,dp_disp_normalized_cross_correlation_reindeer_5_0.5.png,-0.1335729256474897,10.944
reindeer,normalized_cross_correlation,5,0.6,dp_disp_normalized_cross_correlation_reindeer_5_0.6.png,-0.1299512986958684,10.7254
reindeer,normalized_cross_correlation,5,0.7,dp_disp_normalized_cross_correlation_reindeer_5_0.7.png,-0.127944970414762,10.4202
reindeer,normalized_cross_correlation,5,0.8,dp_disp_normalized_cross_correlation_reindeer_5_0.8.png,-0.12633125948383137,10.626
reindeer,normalized_cross_correlation,5,0.9,dp_disp_normalized_cross_correlation_reindeer_5_0.9.png,-0.12534027814247284,10.5117
reindeer,normalized_cross_correlation,5,1.0,dp_disp_normalized_cross_correlation_reindeer_5_1.0.png,-0.12640743196951218,10.6706
reindeer,normalized_cross_correlation,7,0.1,dp_disp_normalized_cross_correlation_reindeer_7_0.1.png,-0.5595905716013848,14.4623
reindeer,normalized_cross_correlation,7,0.2,dp_disp_normalized_cross_correlation_reindeer_7_0.2.png,-0.3196787118657972,14.433
reindeer,normalized_cross_correlation,7,0.3,dp_disp_normalized_cross_correlation_reindeer_7_0.3.png,-0.20350436168648753,14.4221
reindeer,normalized_cross_correlation,7,0.4,dp_disp_normalized_cross_correlation_reindeer_7_0.4.png,-0.15811737621201113,14.5137
reindeer,normalized_cross_correlation,7,0.5,dp_disp_normalized_cross_correlation_reindeer_7_0.5.png,-0.13918823252883672,15.2558
reindeer,normalized_cross_correlation,7,0.6,dp_disp_normalized_cross_correlation_reindeer_7_0.6.png,-0.12881539961180996,14.7868
reindeer,normalized_cross_correlation,7,0.7,dp_disp_normalized_cross_correlation_reindeer_7_0.7.png,-0.12370076692706648,14.4538
reindeer,normalized_cross_correlation,7,0.8,dp_disp_normalized_cross_correlation_reindeer_7_0.8.png,-0.12324207484514499,14.6109
reindeer,normalized_cross_correlation,7,0.9,dp_disp_normalized_cross_correlation_reindeer_7_0.9.png,-0.12266419090643461,14.5046
reindeer,normalized_cross_correlation,7,1.0,dp_disp_normalized_cross_correlation_reindeer_7_1.0.png,-0.11900781287544632,14.6619
reindeer,normalized_cross_correlation,9,0.1,dp_disp_normalized_cross_correlation_reindeer_9_0.1.png,-0.559118310091383,16.939
reindeer,normalized_cross_correlation,9,0.2,dp_disp_normalized_cross_correlation_reindeer_9_0.2.png,-0.35816041915676267,16.7697
reindeer,normalized_cross_correlation,9,0.3,dp_disp_normalized_cross_correlation_reindeer_9_0.3.png,-0.22254097414922783,16.6129
reindeer,normalized_cross_correlation,9,0.4,dp_disp_normalized_cross_correlation_reindeer_9_0.4.png,-0.16130617823178756,16.6291
reindeer,normalized_cross_correlation,9,0.5,dp_disp_normalized_cross_correlation_reindeer_9_0.5.png,-0.15085109155109513,16.2579
reindeer,normalized_cross_correlation,9,0.6,dp_disp_normalized_cross_correlation_reindeer_9_0.6.png,-0.14131586984248581,17.3479
reindeer,normalized_cross_correlation,9,0.7,dp_disp_normalized_cross_correlation_reindeer_9_0.7.png,-0.13405281272066233,17.0645
reindeer,normalized_cross_correlation,9,0.8,dp_disp_normalized_cross_correlation_reindeer_9_0.8.png,-0.12772182674278992,16.5194
reindeer,normalized_cross_correlation,9,0.9,dp_disp_normalized_cross_correlation_reindeer_9_0.9.png,-0.12650688262479562,16.7137
reindeer,normalized_cross_correlation,9,1.0,dp_disp_normalized_cross_correlation_reindeer_9_1.0.png,-0.12423839358001204,16.7159
reindeer,sum_of_squared_differences,3,100.0,dp_disp_sum_of_squared_differences_reindeer_3_100.0.png,14398543.111120626,4.749
reindeer,sum_of_squared_differences,3,200.0,dp_disp_sum_of_squared_differences_reindeer_3_200.0.png,12840573.444452312,4.8583
reindeer,sum_of_squared_differences,3,300.0,dp_disp_sum_of_squared_differences_reindeer_3_300.0.png,12472534.777784724,4.9023
reindeer,sum_of_squared_differences,3,400.0,dp_disp_sum_of_squared_differences_reindeer_3_400.0.png,12642263.444451533,4.8603
